---Part B Optimiser---
Log created at: 00-36-51--2018-10-26
Created by Jamie on JAMIE-DESKTOP
Computer: JAMIE-DESKTOP
OS: Windows_NT
Processors: 4
Threads: 4
Negative Ct found: Ct=-0.020318, a=-0.048811, adash=-0.001290 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 14.500000, 0.151357, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.048811, adash=-0.001290 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 14.500000, 0.151357, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.048811, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 14.500000, 0.151357, 1.000000, 3.000000)
Negative Ct found: Ct=-0.020742, a=-0.058548, adash=-0.001314 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 15.500000, 0.144376, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.058548, adash=-0.001314 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 15.500000, 0.144376, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.058548, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 15.500000, 0.144376, 1.000000, 3.000000)
Negative Ct found: Ct=-0.020441, a=-0.065743, adash=-0.001293 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 16.500000, 0.137395, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.065743, adash=-0.001293 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 16.500000, 0.137395, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.065743, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 16.500000, 0.137395, 1.000000, 3.000000)
Negative Ct found: Ct=-0.019623, a=-0.070171, adash=-0.001239 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 17.500000, 0.130413, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.070171, adash=-0.001239 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 17.500000, 0.130413, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.070171, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 17.500000, 0.130413, 1.000000, 3.000000)
Negative Ct found: Ct=-0.018451, a=-0.071757, adash=-0.001164 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 18.500000, 0.123432, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.071757, adash=-0.001164 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 18.500000, 0.123432, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.071757, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 18.500000, 0.123432, 1.000000, 3.000000)
Negative Ct found: Ct=-0.017042, a=-0.070476, adash=-0.001074 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 19.500000, 0.116451, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.070476, adash=-0.001074 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 19.500000, 0.116451, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.070476, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 19.500000, 0.116451, 1.000000, 3.000000)
Negative Ct found: Ct=-0.000027, a=0.014897, adash=-0.000002 Calling function: WTInducedCalcs(0.000000, 0.000000, 7.000000, 3.141593, 13.500000, 0.158339, 1.000000, 3.000000)
Negative Ct found: Ct=-0.003116, a=0.009527, adash=-0.000171 Calling function: WTInducedCalcs(0.000000, 0.000000, 7.000000, 3.141593, 14.500000, 0.151357, 1.000000, 3.000000)
S1 adash Limit Reached: a=0.007318, adash=-0.000231 Calling function: WTInducedCalcs(0.000000, 0.000000, 7.000000, 3.141593, 14.500000, 0.151357, 1.000000, 3.000000)
S1 Loop Limit Reached: a=0.007318, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 7.000000, 3.141593, 14.500000, 0.151357, 1.000000, 3.000000)
Negative Ct found: Ct=-0.006083, a=0.003031, adash=-0.000332 Calling function: WTInducedCalcs(0.000000, 0.000000, 7.000000, 3.141593, 15.500000, 0.144376, 1.000000, 3.000000)
S1 adash Limit Reached: a=0.002304, adash=-0.000349 Calling function: WTInducedCalcs(0.000000, 0.000000, 7.000000, 3.141593, 15.500000, 0.144376, 1.000000, 3.000000)
S1 Loop Limit Reached: a=0.002304, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 7.000000, 3.141593, 15.500000, 0.144376, 1.000000, 3.000000)
Negative Ct found: Ct=-0.007720, a=-0.001628, adash=-0.000421 Calling function: WTInducedCalcs(0.000000, 0.000000, 7.000000, 3.141593, 16.500000, 0.137395, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.001628, adash=-0.000421 Calling function: WTInducedCalcs(0.000000, 0.000000, 7.000000, 3.141593, 16.500000, 0.137395, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.001628, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 7.000000, 3.141593, 16.500000, 0.137395, 1.000000, 3.000000)
Negative Ct found: Ct=-0.008398, a=-0.004383, adash=-0.000457 Calling function: WTInducedCalcs(0.000000, 0.000000, 7.000000, 3.141593, 17.500000, 0.130413, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.004383, adash=-0.000457 Calling function: WTInducedCalcs(0.000000, 0.000000, 7.000000, 3.141593, 17.500000, 0.130413, 1.000000, 3.000000)
